title	alternate_titles	description	game_id	genres	moby_score	moby_url	num_votes	official_url	platforms	sample_screenshots	sample_cover.height	sample_cover.image	sample_cover.platforms	sample_cover.thumbnail_image	sample_cover.width
Donkey Kong	Common abbreviation: DK, e-Reader title: Donkey Kong-e	"<p>Released in the arcades in 1981, <em>Donkey Kong</em> was not only Nintendo's first real smash hit for the company but marked the introduction of two of their most popular mascots: Mario (originally ""Jumpman"") and Donkey Kong.</p> <p><em>Donkey Kong</em> is a platform-action game that has Mario scale four different industrial-themed levels (construction zone, cement factory, an elevator-themed level, and removing rivets from girders) in an attempt to save the damsel in distress, Pauline, from the big ape before the timer runs out. Once the rivets are removed from the final level, Donkey Kong falls, and the two lovers are reunited. From there, the levels start over at a higher difficulty.</p> <p>Along the way, Mario must dodge a constant stream of barrels, ""living"" fireballs, and spring-weights. Although not as powerful as in other future games, Mario can find a hammer which allows him to destroy the barrels and fireballs for a limited amount of time. Additionally, Mario can also find Pauline's hat, purse, and umbrella for additional bonus points.</p> <p><em>Donkey Kong</em> is also notable for being one of the first complete narratives in video game form, told through simplistic cut scenes that advance the story. It should also be noted that in many conversions of the original coin-op game for early 1980's consoles and computer systems, <em>Donkey Kong</em> only used two or three of the original levels, with the cement factory most often omitted.</p>"	574	Basic Genres: Action, Perspective: Side view, Visual Presentation: Fixed / flip-screen, Gameplay: Arcade, Gameplay: Platform, Interface/Control: Direct control	6.8	https://www.mobygames.com/game/574/donkey-kong/	369		PC Booter (1983), Game Boy Advance (2002-11-11), NES (1983-07-15), Commodore 64 (1983-12), Atari 2600 (1982), ColecoVision (1982-07), Intellivision (1982-10), Apple II (1984), Atari 7800 (1988-11), Atari 8-bit (1983), ZX Spectrum (1986), VIC-20 (1983-12), TI-99/4A (1983-11), MSX (1986), Amstrad CPC (1986), Wii (2006-11-19), Nintendo 3DS (2012-10-17), Wii U (2013-07-15), Arcade (1981), Coleco Adam (1984-06), Nintendo Switch (2018-06-14), Dedicated handheld (1982)	[{'caption': 'Title screen 2', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/9557648-donkey-kong-coleco-adam-title-screen-2.png', 'thumbnail_image': 'https://cdn.mobygames.com/10e55110-ac08-11ed-b351-02420a00012e.webp', 'width': 256}, {'caption': 'With love from my heart? (CGA with Full Color)', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/16250825-donkey-kong-pc-booter-with-love-from-my-heart-cga-with-full-colo.png', 'thumbnail_image': 'https://cdn.mobygames.com/cc77be68-c1de-11ed-ab6b-02420a000194.webp', 'width': 320}, {'caption': 'Level 2 - Nice shot (CGA without Full Color)', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/15736341-donkey-kong-pc-booter-level-2-nice-shot-cga-without-full-color.png', 'thumbnail_image': 'https://cdn.mobygames.com/e58ff0a2-bed5-11ed-9c42-02420a000140.webp', 'width': 320}, {'caption': 'Title Screen', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1866492-donkey-kong-pc-booter-title-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/f84231e4-ab78-11ed-ab77-02420a000198.webp', 'width': 320}, {'caption': 'Stage 1', 'height': 224, 'image': 'https://cdn.mobygames.com/screenshots/2798621-donkey-kong-nes-stage-1.png', 'thumbnail_image': 'https://cdn.mobygames.com/4d206fc2-ab84-11ed-837d-02420a00019b.webp', 'width': 256}]	800	https://cdn.mobygames.com/covers/6995151-donkey-kong-arcade-front-cover.jpg	['Arcade']	https://cdn.mobygames.com/d7e9507e-abf2-11ed-887e-02420a00012e.webp	619
Donkey Kong Junior	ColecoVision in-game title: Donkey Kong Jr, Title on most versions: Donkey Kong Jr., e-Reader title: Donkey Kong Jr.-e	<p>Mario has kidnapped Junior's Papa!</p> <p><em>Donkey Kong Jr.</em> was originally released in the arcades in 1982 as a sequel to Donkey Kong. In this game, Mario plays the antagonist, finally having captured Donkey Kong, and has put the ape in a locked cage. As Donkey Kong Jr., players will have to make their way through four different levels (Vines, Springboard, Chains and Mario's Hideout) in an attempt to find keys to free the little monkey's father.</p> <p>Along the way, Mario will send out Snapjaws, swooping purple birds, and electric sparks in an attempt to stop Junior. Junior can defend himself by dropping fruit found around the levels on the heads of his foes. The more foes a piece of fruit hits in a falling sequence, the higher bonus points can be scored.</p> <p>Junior can also avoid enemies more easily by grabbing hold of two chains or vines at a time to climb away faster, or by jumping over his foes. However, any long fall or falling into the water on certain levels will mean the loss of a life for Junior.</p> <p>In the final cut scene, Junior will free Donkey Kong and both will escape after giving Mario the boot. Once all four levels are cleared, the game levels will start over at a higher difficulty.</p> <p>Like the original Donkey Kong, the earlier 1980's console versions do not have all of the levels and animations from the arcade.</p>	7302	Basic Genres: Action, Perspective: Side view, Visual Presentation: Fixed / flip-screen, Gameplay: Arcade, Gameplay: Platform	6.7	https://www.mobygames.com/game/7302/donkey-kong-junior/	146		Game Boy Advance (2002), NES (1983-07-15), Atari 2600 (1983-09), ColecoVision (1983), Intellivision (1983), Atari 7800 (1988-11), Atari 8-bit (1984-03), Wii (2006-12-02), Nintendo 3DS (2011-09-01), Wii U (2013-04-26), Arcade (1982-08), Coleco Adam (1984-04), Nintendo Switch (2018-12-21)	[{'caption': 'The game options', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/1886387-donkey-kong-junior-colecovision-the-game-options.png', 'thumbnail_image': 'https://cdn.mobygames.com/28f1dda8-ab79-11ed-9377-02420a000197.webp', 'width': 256}, {'caption': 'Stage 4', 'height': 224, 'image': 'https://cdn.mobygames.com/screenshots/2797254-donkey-kong-junior-nes-stage-4.png', 'thumbnail_image': 'https://cdn.mobygames.com/4719eb44-ab84-11ed-87d1-02420a000197.webp', 'width': 256}, {'caption': 'Title screen 1', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/9545626-donkey-kong-junior-coleco-adam-title-screen-1.png', 'thumbnail_image': 'https://cdn.mobygames.com/f4291ffc-ac07-11ed-9915-02420a000134.webp', 'width': 256}, {'caption': 'Title screen', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/1889471-donkey-kong-junior-colecovision-title-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/2faecba6-ab79-11ed-98cd-02420a00019e.webp', 'width': 256}, {'caption': 'Gameplay on the first level', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1887012-donkey-kong-junior-intellivision-gameplay-on-the-first-level.png', 'thumbnail_image': 'https://cdn.mobygames.com/2a3b9e38-ab79-11ed-9377-02420a000197.webp', 'width': 320}]	800	https://cdn.mobygames.com/covers/108674-donkey-kong-junior-colecovision-front-cover.jpg	['ColecoVision']	https://cdn.mobygames.com/75f52d26-ab6a-11ed-bc1c-02420a00019a.webp	588
Double Dragon	PS4 / Switch title: Arcade Archives: Double Dragon, Game Boy Advance title: Double Dragon Advance	"<p>Set in a post-apocalyptic New York, <em>Double Dragon</em> is the story of Billy and Jimmy Lee, twin brothers trained in the fighting style of Sou-Setsu-Ken. Together, they manage a small martial arts training school, teaching their students in self-defense. One day, Billy's girlfriend, Marian, is kidnapped off the street by the ""Black Warriors"", a savage street gang led by a man named Willy. The Black Warriors demand the Lee brothers disclose their martial arts secrets in exchange for Marian's freedom. The Lee brothers set out on a rescue mission to crush the Black Warriors and save Marian.</p> <p>Using whatever techniques they have at their disposal, from the basic punches and kicks to the invulnerable elbow strike, as well any weapon that comes into their hands, the Lee brothers must pursue the gang through the city slum, industrial area and the forest before reaching their hideout to confront the big boss, Willy.</p> <p>The NES version of this game also has an additional VS. fighting mode for one or two players. Players choose from a field of six different characters (Billy and 5 of the enemy characters) and enter into a one-on-one fighting match. Players have to punch, kick, jumpkick, and even use a weapon against their opponents until someone's health bar is fully drained. The winner is the last one standing.</p>"	1839	Basic Genres: Action, Perspective: Side view, Visual Presentation: 2D scrolling, Gameplay: Arcade, Gameplay: Beat 'em up / brawler, Interface/Control: Direct control	7.2	https://www.mobygames.com/game/1839/double-dragon/	346		DOS (1988-11), Game Boy (1990-07-20), Game Boy Advance (2003-11-18), Genesis (1993), Lynx (1993), Amiga (1988), NES (1988-04-08), Atari ST (1989), SEGA Master System (1988), Commodore 64 (1988), Atari 2600 (1988), Atari 7800 (1989-11), ZX Spectrum (1988), MSX (1990), Amstrad CPC (1988), Xbox 360 (2007-05-09), Wii (2008-04-25), Nintendo 3DS (2011-06-22), Wii U (2013-12-12), PlayStation 4 (2014-11-26), Xbox One (2020-04-16), Arcade (1987), Nintendo Switch (2018-01-18), Antstream (2019-07-01)	[{'caption': 'Hey! Bring back Maria!', 'height': 144, 'image': 'https://cdn.mobygames.com/screenshots/276693-double-dragon-game-boy-hey-bring-back-maria.png', 'thumbnail_image': 'https://cdn.mobygames.com/c54bebfc-ab6b-11ed-9505-02420a00019c.webp', 'width': 160}, {'caption': 'Mission 5b Final', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/16424156-double-dragon-zx-spectrum-mission-5b-final.png', 'thumbnail_image': 'https://cdn.mobygames.com/1cc55ad2-c217-11ed-ab6b-02420a000194.webp', 'width': 256}, {'caption': 'First Boss begging for forgiveness. ', 'height': 160, 'image': 'https://cdn.mobygames.com/screenshots/15728916-double-dragon-game-boy-advance-first-boss-begging-for-forgivenes.png', 'thumbnail_image': 'https://cdn.mobygames.com/5431015c-bed3-11ed-9c42-02420a000140.webp', 'width': 240}, {'caption': 'You again?', 'height': 272, 'image': 'https://cdn.mobygames.com/screenshots/15728997-double-dragon-amstrad-cpc-you-again.png', 'thumbnail_image': 'https://cdn.mobygames.com/5d2ab000-bed3-11ed-9c42-02420a000140.webp', 'width': 384}, {'caption': 'Tag Team #2', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/1923452-double-dragon-sega-master-system-tag-team-2.png', 'thumbnail_image': 'https://cdn.mobygames.com/80c46334-ab79-11ed-b9d3-02420a00019b.webp', 'width': 256}]	800	https://cdn.mobygames.com/covers/4124789-double-dragon-commodore-64-front-cover.jpg	['Commodore 64']	https://cdn.mobygames.com/ae28d990-aba6-11ed-be6f-02420a000197.webp	678
Dragonfire	TRS-80 CoCo title: Dragon Fire, Zellers title: Dragon Treasure	<p>The king's treasures have been stolen! As the daring young prince, your goal is to recover them all. The treasures are being kept in various castles, each one guarded by a fire breathing dragon. Each level in the game has two parts; first you will need to cross the castle's drawbridge. You will have to jump and duck the dragons fireballs as well as avoid flying arrows to reach the other side! In the second part you need to collect all of the treasures on the screen and make it to the exit while avoiding the dragon who runs across the bottom of the screen. The dragons on each level have different patterns of movement and firing, and as the levels progress will become faster and trickier.</p>	9358	Basic Genres: Action, Perspective: Side view, Visual Presentation: Fixed / flip-screen, Gameplay: Arcade, Setting: Fantasy	6.7	https://www.mobygames.com/game/9358/dragonfire/	39		Commodore 64 (1984-12), Atari 2600 (1982), ColecoVision (1984-06), Intellivision (1983-01), Apple II (1984-12), ZX Spectrum (1984), VIC-20 (1983-09), TRS-80 CoCo (1984), Coleco Adam (1984-06)	[{'caption': 'Collect treasures!', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/422400-dragonfire-colecovision-collect-treasures.png', 'thumbnail_image': 'https://cdn.mobygames.com/f8b2d28e-ab6c-11ed-b951-02420a000197.webp', 'width': 256}, {'caption': 'Title screen', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/15672843-dragonfire-zx-spectrum-title-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/42819452-bec0-11ed-9c42-02420a000140.webp', 'width': 256}, {'caption': 'Title screen 2', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/1974272-dragonfire-colecovision-title-screen-2.png', 'thumbnail_image': 'https://cdn.mobygames.com/fe5ca13a-ab79-11ed-8d2b-02420a00019e.webp', 'width': 256}, {'caption': 'Title screen', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/401701-dragonfire-intellivision-title-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/ceced6b6-ab6c-11ed-aa5a-02420a0001a0.webp', 'width': 320}, {'caption': 'Dodge fireballs running across this bridge...', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1010312-dragonfire-commodore-64-dodge-fireballs-running-across-this-brid.png', 'thumbnail_image': 'https://cdn.mobygames.com/a4fa487a-ab71-11ed-aa5a-02420a0001a0.webp', 'width': 320}]	800	https://cdn.mobygames.com/covers/3888583-dragonfire-intellivision-front-cover.jpg	['Intellivision']	https://cdn.mobygames.com/7b0dd19e-ab9e-11ed-bc1c-02420a00019a.webp	596
E.T. The Extra-Terrestrial	Informal slang title: E.T. The Game	<p><em>E.T. The Extra-Terrestrial</em> is a licensed adventure game, based on the movie. The adventure takes place on several screens with pits scattered about. The object of the game is to find pieces of E.T.'s phone. Once all pieces are found, E.T. calls home and the spaceship arrives to pick him up. E.T. can collect Reese's Pieces scattered around in order to regain energy which is constantly depleted with time. </p> <p>The phone pieces are in some of the pits, and E.T. must jump in to get them; sometimes there's also a dead flower in the pit which provides extra points if brought back to life. Once E.T. has done his business in the pit, to get out he must levitate his way out, though he must watch out not to fall into the pit again after leaving. </p> <p>Evil scientists and agents wander around the area, trying to capture E.T. and steal the parts he's carrying.</p>	8874	Basic Genres: Action, Perspective: Diagonal-down, Visual Presentation: Fixed / flip-screen, Gameplay: Puzzle elements, Other Attributes: Licensed	3.2	https://www.mobygames.com/game/8874/et-the-extra-terrestrial/	131		Atari 2600 (1982-11)	[{'caption': 'Title screen', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1238079-et-the-extra-terrestrial-atari-2600-title-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/7715d012-ab73-11ed-87d1-02420a000197.webp', 'width': 320}, {'caption': 'Exploring a bit...', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1238269-et-the-extra-terrestrial-atari-2600-exploring-a-bit.png', 'thumbnail_image': 'https://cdn.mobygames.com/77742ce8-ab73-11ed-b430-02420a0001a0.webp', 'width': 320}, {'caption': 'Uh oh, in trouble here...', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1237601-et-the-extra-terrestrial-atari-2600-uh-oh-in-trouble-here.png', 'thumbnail_image': 'https://cdn.mobygames.com/76257f2c-ab73-11ed-8d2b-02420a00019e.webp', 'width': 320}, {'caption': 'Found something in a hole!', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1239421-et-the-extra-terrestrial-atari-2600-found-something-in-a-hole.png', 'thumbnail_image': 'https://cdn.mobygames.com/79ce929e-ab73-11ed-b430-02420a0001a0.webp', 'width': 320}, {'caption': 'Beginning the game', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1237647-et-the-extra-terrestrial-atari-2600-beginning-the-game.png', 'thumbnail_image': 'https://cdn.mobygames.com/76359b64-ab73-11ed-b430-02420a0001a0.webp', 'width': 320}]	800	https://cdn.mobygames.com/covers/4828326-et-the-extra-terrestrial-atari-2600-front-cover.jpg	['Atari 2600']	https://cdn.mobygames.com/cb4d719a-abc2-11ed-ba04-02420a00019f.webp	583
Entombed	working title: Pharaoh's Tomb	<p>What started out as a nice little archaeological expedition has suddenly become a nightmarish fight for survival! A team of archaeologists is trapped in an underground maze of dark, winding tunnels. All around them, fearsome zombies are emerging from the crypts. The archaeologists' only hope of survival (apart from some very fast running) is an ancient device known as the 'make-break', which can be used to either create or destroy pieces of wall.</p> <p>In this increasingly frantic one or two-player arcade game, you'll need wits as well as dexterity. You'll have to think on the fly, plan strategically and race through the maze as fast as you can. Fail to keep up the pace and you're zombie fodder. Good luck!</p>	8845	Basic Genres: Action, Basic Genres: Strategy / tactics, Perspective: Top-down		https://www.mobygames.com/game/8845/entombed/	8		Atari 2600 (1983-03)	[{'caption': 'Title screen', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1142723-entombed-atari-2600-title-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/b4f8be86-ab72-11ed-934f-02420a0001a0.webp', 'width': 320}, {'caption': 'Wandering through the maze', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1141967-entombed-atari-2600-wandering-through-the-maze.png', 'thumbnail_image': 'https://cdn.mobygames.com/b36a1e5c-ab72-11ed-b6ee-02420a00019d.webp', 'width': 320}, {'caption': 'Uh oh, a dead end!', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1142073-entombed-atari-2600-uh-oh-a-dead-end.png', 'thumbnail_image': 'https://cdn.mobygames.com/b3a38df4-ab72-11ed-b6ee-02420a00019d.webp', 'width': 320}]	800	https://cdn.mobygames.com/covers/10091240-entombed-atari-2600-front-cover.jpg	['Atari 2600']	https://cdn.mobygames.com/19aecd80-ac0d-11ed-9eb0-02420a000136.webp	594
Freeway	"German title: ""Das Verruckte Huhn"", Activision prototype title: Bloody Human Freeway"	<p>In Freeway, your job is to help the chicken cross the road! Each time you successfully guide the chicken across ten lanes of freeway traffic, you earn a point. Try to score as many points as you can by the end of the 2 minute 16 second time limit! In the two player game, whoever scores the most points by the end wins. Several game variations are included which can adjust the speed and amount of traffic on the freeway.</p>	9173	Basic Genres: Action, Perspective: Top-down, Visual Presentation: Fixed / flip-screen, Gameplay: Arcade	6.4	https://www.mobygames.com/game/9173/freeway/	28		Windows (2010-08-18), Atari 2600 (1981), Xbox 360 (2010-08-18)	[{'caption': 'A game in progress', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/449536-freeway-atari-2600-a-game-in-progress.png', 'thumbnail_image': 'https://cdn.mobygames.com/2ed394d4-ab6d-11ed-b042-02420a00019f.webp', 'width': 320}, {'caption': 'The game in black and white mode', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/453180-freeway-atari-2600-the-game-in-black-and-white-mode.png', 'thumbnail_image': 'https://cdn.mobygames.com/36201212-ab6d-11ed-b042-02420a00019f.webp', 'width': 320}, {'caption': 'Plenty of traffic here...', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/452007-freeway-atari-2600-plenty-of-traffic-here.png', 'thumbnail_image': 'https://cdn.mobygames.com/33bbd8d0-ab6d-11ed-b042-02420a00019f.webp', 'width': 320}]	800	https://cdn.mobygames.com/covers/18306-freeway-atari-2600-front-cover.jpg	['Atari 2600']	https://cdn.mobygames.com/f6f36a88-ab64-11ed-a424-02420a000173.webp	580
Frogger	Working title for the arcade version: Highway Crossing Frog, Atari 2600 Starpath Supercharger title: The Official Frogger	<p>Your task in this arcade game is to guide a frog across a treacherous road and river, and to safety at the top of the screen. Both these sections are fraught with a variety of hazards, each of which will kill the frog and cost you a life if contact is made.</p> <p>The road is full of cars and trucks, at variable speeds. The river water itself is fatal, as are the snakes which hover within on later levels. Frogger must use the arrangement of logs, turtles (which are only there for a short time) and alligators (but stay away from their faces), and then jump into one of the open home-cells, ideally one containing a fly for extra points. Once all holes have been filled, you move onto the next, harder, level.</p>	1540	Basic Genres: Action, Perspective: Top-down, Visual Presentation: Fixed / flip-screen, Gameplay: Arcade, Interface/Control: Direct control	7.5	https://www.mobygames.com/game/1540/frogger/	238		PC Booter (1983), Game Boy (1998-08), Game Boy Color (1998), SNES (1998-08), Genesis (1998), Commodore 64 (1983), Atari 2600 (1982-08), ColecoVision (1983-11), Intellivision (1983-04), Apple II (1983), Atari 5200 (1983-06), Atari 8-bit (1982), VIC-20 (1983-07), TI-99/4A (1983-06), MSX (1983), TRS-80 (1982), TRS-80 CoCo (1983), BREW (2003-11-20), J2ME (2003-11-20), Macintosh (1984), Odyssey 2 (1982), Dragon 32/64 (1983), iPhone (2008-08-27), Android (2010-12-16), iPad (2011-10-14), Windows Phone (2010-11-08), ZX81 (1982), PlayStation 4 (2019-12-12), Arcade (1981), PC-6001 (1981), Tomy Tutor (1982), Timex Sinclair 2068 (1984), Nintendo Switch (2019-12-12)	"[{'caption': 'The frog crosses the road', 'height': 265, 'image': 'https://cdn.mobygames.com/screenshots/4505170-frogger-vic-20-the-frog-crosses-the-road.png', 'thumbnail_image': 'https://cdn.mobygames.com/8f368bae-abb5-11ed-a061-02420a00019d.webp', 'width': 384}, {'caption': 'My frog got squished crossing the road (Parker cartridge version)', 'height': 240, 'image': 'https://cdn.mobygames.com/screenshots/4505566-frogger-atari-8-bit-my-frog-got-squished-crossing-the-road-parke.png', 'thumbnail_image': 'https://cdn.mobygames.com/935412f6-abb5-11ed-a061-02420a00019d.webp', 'width': 336}, {'caption': 'First stage, crossing the street.', 'height': 240, 'image': 'https://cdn.mobygames.com/screenshots/15844526-frogger-odyssey-2-first-stage-crossing-the-street.png', 'thumbnail_image': 'https://cdn.mobygames.com/d24b0f64-bef7-11ed-9c42-02420a000140.webp', 'width': 320}, {'caption': 'After the first move, on the dangerous street (Sierra Harris version)', 'height': 224, 'image': 'https://cdn.mobygames.com/screenshots/15826010-frogger-atari-8-bit-after-the-first-move-on-the-dangerous-street.png', 'thumbnail_image': 'https://cdn.mobygames.com/33e32bae-bef2-11ed-9c42-02420a000140.webp', 'width': 336}, {'caption': ""In the Sierra version by Chuck Benton, there's even a 2-player simultaneous mode"", 'height': 224, 'image': 'https://cdn.mobygames.com/screenshots/15826973-frogger-atari-8-bit-in-the-sierra-version-by-chuck-benton-theres.png', 'thumbnail_image': 'https://cdn.mobygames.com/83f921c0-bef2-11ed-9c42-02420a000140.webp', 'width': 336}]"	800	https://cdn.mobygames.com/covers/10064666-frogger-trs-80-front-cover.jpg	['TRS-80']	https://cdn.mobygames.com/ce92b0c8-ac0c-11ed-b85a-02420a000135.webp	636
Frogger II: ThreeeDeep!	slang: Frogger 2: 3 Deep, Apple II/PC Booter in-game title: Frogger II: Three Deep	<p>In <em>Frogger II: ThreeeDeep!</em>, you need to guide your frog to safety in three different locations. Starting out underwater, reach the top of the pond while avoiding dangerous alligators and fish (you can ride a turtle for safety!). Once on top of the pond, hop across logs, birds, and even a whale to the life preserver trailing behind a tugboat. In the third location you have to hop across a flock of birds to reach a cloud at the top of the screen. Each frog has a time limit to safely reach one of the homes on each of the three screens. You move on to the next level when a frog has safely reached each of the homes on all screens.</p>	7265	Basic Genres: Action, Gameplay: Arcade, Gameplay: Platform	6.5	https://www.mobygames.com/game/7265/frogger-ii-threeedeep/	36		PC Booter (1984), Commodore 64 (1984-10), Atari 2600 (1984-09), ColecoVision (1984-10), Apple II (1984), Atari 5200 (1984-09), Atari 8-bit (1984)	[{'caption': 'Avoid the dragon! (PCjr with composite monitor)', 'height': 480, 'image': 'https://cdn.mobygames.com/screenshots/6568964-frogger-ii-threeedeep-pc-booter-avoid-the-dragon-pcjr-with-compo.jpg', 'thumbnail_image': 'https://cdn.mobygames.com/7fbd49da-abef-11ed-9899-02420a000134.webp', 'width': 640}, {'caption': 'Starting the game underwater (CGA with composite monitor)', 'height': 480, 'image': 'https://cdn.mobygames.com/screenshots/16746160-frogger-ii-threeedeep-pc-booter-starting-the-game-underwater-cga.png', 'thumbnail_image': 'https://cdn.mobygames.com/f9ac0f04-c339-11ed-9a87-02420a0001b4.webp', 'width': 640}, {'caption': 'Beginning underwater', 'height': 240, 'image': 'https://cdn.mobygames.com/screenshots/495208-frogger-ii-threeedeep-atari-5200-beginning-underwater.png', 'thumbnail_image': 'https://cdn.mobygames.com/8a2a2e7e-ab6d-11ed-87d1-02420a000197.webp', 'width': 336}, {'caption': 'Avoid the dragon up in the sky (CGA with RGB monitor)', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/6572808-frogger-ii-threeedeep-pc-booter-avoid-the-dragon-up-in-the-sky-c.png', 'thumbnail_image': 'https://cdn.mobygames.com/804c5fc6-abef-11ed-b85a-02420a000135.webp', 'width': 320}, {'caption': 'Title screen (CGA with RGB monitor)', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/495824-frogger-ii-threeedeep-pc-booter-title-screen-cga-with-rgb-monito.png', 'thumbnail_image': 'https://cdn.mobygames.com/8b5a66b0-ab6d-11ed-9e18-02420a00019a.webp', 'width': 320}]	800	https://cdn.mobygames.com/covers/6853528-frogger-ii-threeedeep-atari-8-bit-front-cover.jpg	['Atari 8-bit']	https://cdn.mobygames.com/bec50e22-abf1-11ed-b351-02420a00012e.webp	557
Galaxian	Nintendo Switch / PlayStation 4 title: Arcade Archives: Galaxian, Mexican Spanish title: Galaxia, Spanish Petaco release: Zero Time	<p><em>Galaxian</em> is a shoot 'em up in which the player is at the bottom of the screen, with an arrangement of aliens at the top. The player moves left and right to aim at an alien, then shoots a bullet up the screen, and the alien it hits is killed. The aliens are classed as Drones, Emissaries, Hornets and Commanders, with those higher up the screen scoring more points when destroyed. At set intervals an enemy will move down the screen towards you, escorting a bomber, which is a moment of high danger. Clear a wave and another is generated.</p>	137	Basic Genres: Action, Perspective: Side view, Visual Presentation: Fixed / flip-screen, Gameplay: Arcade, Gameplay: Shooter, Interface/Control: Direct control, Setting: Sci-fi / futuristic	7.3	https://www.mobygames.com/game/137/galaxian/	156		PC Booter (1983), NES (1984-09-07), Commodore 64 (1984-07), Atari 2600 (1983-06), ColecoVision (1984-05), Apple II (1984-06), Atari 5200 (1982), Atari 8-bit (1982), ZX Spectrum (1984-12), VIC-20 (1984-06), MSX (1984), Palm OS (2004-11-10), Wii (2009-09-29), PC-88 (1983-12), Sharp X1 (1984), FM-7 (1985), PlayStation 4 (2022-11-24), Arcade (1979-10), PC-6001 (1984), PC-8000 (1983), Sharp Zaurus (2001), Nintendo Switch (2022-11-24)	[{'caption': 'Title screen / the game screen', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/643213-galaxian-atari-2600-title-screen-the-game-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/c1a59702-ab6e-11ed-9d80-02420a00019a.webp', 'width': 320}, {'caption': 'Alien attack!', 'height': 400, 'image': 'https://cdn.mobygames.com/screenshots/8973542-galaxian-pc-88-alien-attack.png', 'thumbnail_image': 'https://cdn.mobygames.com/4cd28634-ac03-11ed-9f52-02420a000130.webp', 'width': 640}, {'caption': 'The scoring/title screen.', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/15541720-galaxian-pc-8000-the-scoringtitle-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/99df6412-b1d8-11ed-846f-02420a000144.webp', 'width': 320}, {'caption': 'Blasting Galaxians...', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/15660484-galaxian-msx-blasting-galaxians.png', 'thumbnail_image': 'https://cdn.mobygames.com/d6ffe0b6-bebb-11ed-974c-02420a00013e.webp', 'width': 256}, {'caption': 'Title screen', 'height': 400, 'image': 'https://cdn.mobygames.com/screenshots/8672534-galaxian-sharp-x1-title-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/993c4274-ac00-11ed-a710-02420a000136.webp', 'width': 640}]	800	https://cdn.mobygames.com/covers/4099382-galaxian-atari-5200-front-cover.jpg	['Atari 5200']	https://cdn.mobygames.com/cab8b7c0-aba5-11ed-89d0-02420a00019d.webp	585
